,built_years,size,street_adress_code,dong_code,max(price),max(floor)
0,1961,26.54,414821100042,1153010200,7900,4
1,1961,35.55,414830400011,1153010200,22000,5
2,1961,44.55,414820200027,1153010200,16000,5
3,1961,48.13,414831700011,1153010200,16000,5
4,1961,48.96,414820400062,1153010200,15600,1
5,1961,54.16,414820200027,1153010200,21000,5
6,1961,55.63,414821100042,1153010200,12000,4
7,1961,55.98,300507000070,1153010200,25000,5
8,1961,59.92,414820400062,1153010200,22500,5
9,1961,60.6,414831500003,1153010200,18000,5
10,1965,44.96,410327600013,1114016700,50000,6
11,1965,45.94,410327600013,1114016700,44500,1
12,1965,46.26,410327600013,1114016700,60000,4
13,1966,28.79,300500700025,1111017400,19000,6
14,1966,28.8,300500700025,1111017400,42000,6
15,1967,31.81,414831500007,1153010200,10000,5
16,1967,48.86,414830300004,1153010200,6500,5
17,1967,53.425,414820400044,1153010200,16900,5
18,1968,16.52,310002100318,1114016200,12000,7
19,1968,36.17,310002100295,1111017400,15000,6
20,1968,40.13,310100200072,1114013400,22500,10
21,1968,40.83,310100200072,1114013400,21200,9
22,1968,40.87,310002100319,1111017400,24000,5
23,1968,41.62,310100200072,1114013400,21000,8
24,1968,42.31,310100200072,1114013400,21850,7
25,1968,43.7,310100200072,1114013400,16600,6
26,1968,46.07,310002100318,1114016200,29500,8
27,1968,48.07,300500100173,1114016200,22400,5
28,1968,48.56,310100200072,1114013400,25800,10
29,1968,48.99,310002100307,1111017400,22500,5
30,1968,49.22,310100200072,1114013400,26000,9
31,1968,49.75,310002100307,1111017400,22500,5
32,1968,49.88,310100200072,1114013400,26000,8
33,1968,50.58,310100200072,1114013400,27000,7
34,1968,50.74,310002100331,1111017400,30000,5
35,1968,50.81,300500100173,1114016200,22000,5
36,1968,50.91,300500100173,1114016200,30000,5
37,1968,51.9,300500100173,1114016200,24000,4
38,1968,52.1,310100200072,1114013400,22000,6
39,1968,52.17,310100200072,1114013400,21000,9
40,1968,52.23,300500100173,1114016200,20000,5
41,1968,52.69,300500100173,1114016200,19500,5
42,1968,56.17,310002100295,1111017400,12400,6
43,1968,56.66,413638500003,1141011100,45000,6
44,1968,56.79,413638500003,1141011100,33000,6
45,1968,58.18,413638500003,1141011100,35000,6
46,1968,58.21,413638500003,1141011100,32800,6
47,1968,58.43,310002100307,1111017400,23500,5
48,1968,58.81,300500100173,1114016200,20000,2
49,1968,65.92,210000100428,1111013700,29000,15
50,1968,66.32,310002100318,1114016200,36000,8
51,1968,68.89,210000100428,1111013700,17000,14
52,1968,69.12,210000100428,1111013700,24700,6
53,1968,69.42,210000100428,1111013700,18900,7
54,1968,70.61,210000100428,1111013700,15000,15
55,1968,70.68,413638500003,1141011100,26000,6
56,1968,72.35,310002100318,1114016200,15000,6
57,1968,72.4,310002100307,1111017400,31000,4
58,1968,73.19,310002100307,1111017400,33000,4
59,1968,73.59,210000100428,1111013700,30000,13
60,1968,73.82,210000100428,1111013700,19000,7
61,1968,76.96,310100200072,1114013400,38000,10
62,1968,77.22,210000100428,1111013700,21500,11
63,1968,79.14,310100200072,1114013400,30500,8
64,1968,80.26,310100200072,1114013400,36500,7
65,1968,80.33,310100200072,1114013400,28800,10
66,1968,82.61,310100200072,1114013400,34800,6
67,1968,87.44,310100200072,1114013400,39000,6
68,1968,92.0,310100200072,1114013400,42000,5
69,1968,100.26,210000100428,1111013700,35000,14
70,1968,104.46,210000100428,1111013700,22000,8
71,1968,104.99,310100200072,1114013400,36000,5
72,1968,107.17,210000100428,1111013700,40500,10
73,1968,108.89,210000100428,1111013700,30000,9
74,1968,135.17,310100200072,1114013400,50000,5
75,1969,13.22,410640500030,1117010700,11800,3
76,1969,23.14,413612100023,1141011000,18167,1
77,1969,24.79,311201100030,1141010200,17500,2
78,1969,27.34,410640500030,1117010700,16000,2
79,1969,27.57,413612100023,1141011000,13000,6
80,1969,29.52,413612100023,1141011000,19130,2
81,1969,30.74,311201100030,1141010200,5852,5
82,1969,31.93,410640500030,1117010700,9900,4
83,1969,35.44,410640500030,1117010700,20000,2
84,1969,36.1,412143000009,1129012400,7000,-1
85,1969,37.55,413612100023,1141011000,22698,5
86,1969,38.02,415476100013,1156010100,28000,5
87,1969,39.67,413606300141,1141010500,37650,6
88,1969,41.32,415476100013,1156010100,26000,5
89,1969,44.0,410640500030,1117010700,32800,5
90,1969,44.5,410640500030,1117010700,30000,2
91,1969,44.73,310002100318,1114016200,20000,6
92,1969,44.76,200500200250,1117013000,23000,7
93,1969,44.79,410640500030,1117010700,25000,5
94,1969,45.72,311201100030,1141010200,11535,5
95,1969,50.347,413637000009,1141010200,24500,7
96,1969,50.48,413619500039,1141011100,17600,5
97,1969,50.51,200500200250,1117013000,18000,1
98,1969,50.68,412143000009,1129012400,15500,5
99,1969,51.24,311201100030,1141010200,20000,1
100,1969,51.27,200500200250,1117013000,30000,7
101,1969,51.603,413637000009,1141010200,30000,6
102,1969,52.03,412143000009,1129012400,19000,4
103,1969,52.1,412143000009,1129012400,19800,6
104,1969,52.298,413637000009,1141010200,29500,6
105,1969,52.463,413637000009,1141010200,24500,8
106,1969,52.89,412143000009,1129012400,11000,-1
107,1969,53.058,413637000009,1141010200,17500,8
108,1969,53.29,413637000009,1141010200,23800,2
109,1969,54.31,413619500039,1141011100,20000,1
110,1969,54.88,413619500039,1141011100,35300,6
111,1969,55.009,413637000009,1141010200,18500,6
112,1969,55.57,413637000009,1141010200,35000,5
113,1969,56.2,413637000009,1141010200,24350,5
114,1969,56.79,410640500030,1117010700,22000,4
115,1969,57.75,413637000009,1141010200,19000,4
116,1969,58.02,412143000009,1129012400,14500,1
117,1969,58.28,200500200250,1117013000,27750,5
118,1969,58.51,410640500030,1117010700,15000,4
119,1969,58.84,311201100030,1141010200,25700,2
120,1969,59.27,413637000009,1141010200,16800,4
121,1969,59.43,413637000009,1141010200,15000,2
122,1969,59.5,300502200157,1117011900,23000,11
123,1969,59.6,300502200157,1117011900,22000,8
124,1969,60.0,410640500030,1117010700,33700,4
125,1969,60.6,410640500030,1117010700,34000,4
126,1969,61.02,412143000009,1129012400,29000,5
127,1969,61.16,311201100030,1141010200,23000,1
128,1969,61.29,412143000009,1129012400,22000,6
129,1969,61.82,311201100030,1141010200,8400,5
130,1969,62.51,412143000009,1129012400,20000,5
131,1969,63.87,412143000009,1129012400,26000,4
132,1969,64.0,410640500030,1117010700,36500,4
133,1969,64.26,412143000009,1129012400,16000,6
134,1969,64.63,412143000009,1129012400,29500,6
135,1969,64.89,413619500039,1141011100,33500,1
136,1969,64.93,413619500039,1141011100,19500,6
137,1969,65.09,413619500039,1141011100,29000,4
138,1969,65.22,413619500039,1141011100,35000,5
139,1969,66.12,300502200157,1117011900,25600,9
140,1969,66.12,413619500039,1141011100,29800,6
141,1969,66.12,413637000009,1141010200,18000,2
142,1969,66.18,311201100030,1141010200,16300,5
143,1969,69.75,311201100030,1141010200,59000,2
144,1969,70.41,311201100030,1141010200,18000,3
145,1969,73.06,300502200157,1117011900,28700,11
146,1969,74.71,413637000009,1141010200,20000,1
147,1969,77.13,413637000009,1141010200,24500,5
148,1969,77.63,413637000009,1141010200,42000,4
149,1969,81.686,413637000009,1141010200,25000,7
150,1969,82.64,413637000009,1141010200,29800,2
151,1969,86.28,311201100030,1141010200,32980,1
152,1969,86.61,311201100030,1141010200,31800,2
153,1969,89.22,410640500030,1117010700,26700,2
154,1969,89.918,413637000009,1141010200,20000,6
155,1969,94.05,413637000009,1141010200,20000,8
156,1969,94.81,413637000009,1141010200,42000,8
157,1969,96.18,413637000009,1141010200,29500,2
158,1969,99.5,311201100030,1141010200,30000,5
159,1969,111.174,413637000009,1141010200,21000,7
160,1969,111.24,413637000009,1141010200,26700,6
161,1969,112.132,413637000009,1141010200,39850,8
162,1969,118.68,311201100030,1141010200,42000,1
163,1970,28.03,310200700166,1117011300,16000,7
164,1970,28.36,300501400073,1117013100,12700,7
165,1970,29.7,410333700015,1114011200,15000,7
166,1970,35.76,410034100014,1111017400,6500,6
167,1970,36.56,410034100014,1111017400,14800,5
168,1970,36.58,410333700015,1114011200,18700,6
169,1970,37.35,410034100014,1111017400,10300,6
170,1970,39.37,310200800224,1117012900,18000,10
171,1970,40.4,300501400073,1117013100,17000,11
172,1970,41.26,300501400073,1117013100,15400,11
173,1970,41.65,413931400054,1144012400,41000,5
174,1970,42.39,410034100014,1111017400,18000,6
175,1970,43.6,300501400073,1117013100,20000,11
176,1970,43.64,410644300032,1117012400,40000,1
177,1970,44.73,300501400073,1117013100,15000,10
178,1970,45.3,410034100014,1111017400,18000,6
179,1970,45.92,300501400073,1117013100,8000,11
180,1970,47.25,211300100236,1144010100,58000,6
181,1970,49.58,211300100236,1144010100,32200,4
182,1970,49.59,310200700166,1117011300,36700,4
183,1970,50.15,410333700015,1114011200,21000,1
184,1970,52.89,310200700166,1117011300,16000,4
185,1970,53.59,310200700166,1117011300,15000,6
186,1970,54.55,310200700166,1117011300,35200,5
187,1970,54.78,300501400073,1117013100,21400,10
188,1970,55.77,310200700166,1117011300,22000,6
189,1970,55.8,410333700015,1114011200,20000,3
190,1970,56.11,410333700015,1114011200,26200,7
191,1970,56.69,410034100014,1111017400,21000,6
192,1970,57.59,410644300032,1117012400,30500,4
193,1970,59.36,211300100236,1144010100,54500,7
194,1970,59.5,410604700022,1117013100,40000,5
195,1970,60.63,410647200005,1117013100,13200,5
196,1970,61.15,310200700166,1117011300,19000,4
197,1970,61.16,310200700166,1117011300,24500,5
198,1970,61.27,211300100236,1144010100,56000,4
199,1970,62.79,410034100014,1111017400,25000,5
200,1970,66.24,211300100236,1144010100,63800,7
201,1970,66.72,211300100236,1144010100,63000,4
202,1970,67.9,211300100236,1144010100,55000,6
203,1970,68.76,300000800476,1141011100,25000,5
204,1970,69.42,410604700022,1117013100,47000,5
205,1970,69.42,410604722   ,1117013100,28000,4
206,1970,70.41,300000800476,1141011100,27000,5
207,1970,70.74,410644300026,1117012400,64200,4
208,1970,70.74,410644300032,1117012400,64200,5
209,1970,71.1,211300100236,1144010100,69000,6
210,1970,71.83,211300100236,1144010100,63000,7
211,1970,71.93,310101100217,1114013200,54000,16
212,1970,72.6,310101100217,1114013200,30900,5
213,1970,73.06,300000800476,1141011100,27700,5
214,1970,76.03,300000800476,1141011100,40000,6
215,1970,77.08,211300100236,1144010100,56000,4
216,1970,78.28,310101100217,1114013200,40500,16
217,1970,79.16,211300100236,1144010100,64800,7
218,1970,79.34,410644300032,1117012400,63600,6
219,1970,80.6,300000800476,1141011100,35000,5
220,1970,82.61,300501400073,1117013100,30500,8
221,1970,84.88,211300100236,1144010100,83000,4
222,1970,84.89,211300100236,1144010100,62000,7
223,1970,84.98,211300100236,1144010100,77000,7
224,1970,85.95,410644300032,1117012400,65000,4
225,1970,87.27,310101100217,1114013200,34000,8
226,1970,90.71,300501400073,1117013100,23900,8
227,1970,91.11,300501400073,1117013100,33000,2
228,1970,95.8,310101100217,1114013200,63800,16
229,1970,98.38,300501400073,1117013100,39200,6
230,1970,101.19,310101100217,1114013200,59000,10
231,1970,101.19,410647200005,1117013100,15000,5
232,1970,103.31,410013700014,1111011500,65000,6
233,1970,104.32,211300100236,1144010100,80000,7
234,1970,107.9,310101100217,1114013200,70000,16
235,1970,110.74,311201200013,1141011800,31300,5
236,1970,118.65,300501400073,1117013100,32000,8
237,1970,132.13,310101100217,1114013200,72000,12
238,1970,135.77,310200800224,1117012900,61500,6
239,1970,138.94,310200800224,1117012900,68000,7
240,1970,143.74,311201200013,1141011800,39300,2
241,1970,144.13,311201200013,1141011800,31500,5
242,1970,146.28,310200800224,1117012900,66000,9
243,1970,147.8,310200800224,1117012900,58000,9
244,1970,152.3,310200800224,1117012900,66000,6
245,1970,165.72,311201200013,1141011800,45000,2
246,1970,166.12,311201200013,1141011800,44800,4
247,1971,16.53,413626100127,1141011700,2400,5
248,1971,17.57,310200700129,1117011700,6000,5
249,1971,19.27,310000500021,1111018100,8500,8
250,1971,28.05,310002100375,1111017500,14500,7
251,1971,30.28,310000500021,1111018100,21500,8
252,1971,30.74,413626100127,1141011700,4900,-1
253,1971,30.84,310200700129,1117011700,43000,4
254,1971,32.63,415471800004,1156010600,8800,8
255,1971,32.69,415471800004,1156010600,17500,7
256,1971,36.41,200500700559,1150010100,14400,5
257,1971,37.36,412135000040,1129010100,18000,6
258,1971,39.34,413636800059,1141010400,15800,7
259,1971,39.67,411547300003,1123010300,27950,6
260,1971,39.67,413636800059,1141010400,15000,7
261,1971,40.66,413636800059,1141010400,12000,7
262,1971,41.32,410318000034,1114017100,26000,4
263,1971,41.65,412143200014,1129012300,11500,1
264,1971,42.08,310002100375,1111017500,14900,5
265,1971,42.61,412143200014,1129012300,17700,7
266,1971,42.64,413636800059,1141010400,18000,7
267,1971,43.11,412143200014,1129012300,10500,1
268,1971,43.17,412143200014,1129012300,15500,7
269,1971,43.91,310002100375,1111017500,14000,7
270,1971,44.16,414820700026,1153010200,17500,5
271,1971,44.36,412143200014,1129012300,21000,7
272,1971,44.4,412143200014,1129012300,25000,6
273,1971,44.79,412135000040,1129010100,19500,6
274,1971,44.96,412143200014,1129012300,16000,7
275,1971,45.26,410613100011,1117012000,18500,4
276,1971,45.35,310002100375,1111017500,15000,6
277,1971,45.39,310000500021,1111018100,23000,8
278,1971,45.45,410613100011,1117012000,7000,5
279,1971,45.92,412143200014,1129012300,17000,6
280,1971,45.95,412143200014,1129012300,12800,7
281,1971,46.55,412143200014,1129012300,13500,4
282,1971,47.27,412143200014,1129012300,14400,7
283,1971,47.61,416063700039,1162010100,29400,6
284,1971,47.7,412143200014,1129012300,25000,1
285,1971,47.87,412143200014,1129012300,30000,6
286,1971,48.86,413636800059,1141010400,16700,6
287,1971,49.03,410657900010,1117010100,13500,6
288,1971,49.59,413626100127,1141011700,24500,5
289,1971,51.34,310002100375,1111017500,10500,5
290,1971,51.57,412143200014,1129012300,20000,7
291,1971,51.74,413636800059,1141010400,13000,7
292,1971,51.93,412143200014,1129012300,25000,6
293,1971,51.97,412143200014,1129012300,16800,6
294,1971,52.0,412143200014,1129012300,20000,7
295,1971,52.56,411547300003,1123010300,20000,6
296,1971,52.71,310200700129,1117011700,48000,4
297,1971,52.89,413626100127,1141011700,15900,5
298,1971,52.96,412143200014,1129012300,8500,1
299,1971,52.96,413636800059,1141010400,18000,6
300,1971,53.52,414820700026,1153010200,21000,1
301,1971,54.31,412143200014,1129012300,27500,7
302,1971,54.45,412143200014,1129012300,15000,1
303,1971,54.88,412143200014,1129012300,28000,7
304,1971,56.96,412143200014,1129012300,30800,7
305,1971,57.85,413636800059,1141010400,23000,5
306,1971,58.45,412143200014,1129012300,22000,1
307,1971,58.58,310200800104,1117012900,27000,4
308,1971,58.83,310002100375,1111017500,16000,8
309,1971,59.31,412143200014,1129012300,23000,7
310,1971,59.44,310200800104,1117012900,35000,4
311,1971,59.5,411547300003,1123010300,59000,6
312,1971,59.83,412143200014,1129012300,18500,6
313,1971,60.89,412143200014,1129012300,24000,7
314,1971,60.93,412143200014,1129012300,21000,7
315,1971,60.96,311800100045,1156011000,139000,13
316,1971,61.25,310200800104,1117012900,29000,1
317,1971,61.71,310002100375,1111017500,15300,4
318,1971,61.72,411547300003,1123010300,55000,6
319,1971,61.85,410657900010,1117010100,13000,4
320,1971,61.92,412143200014,1129012300,25500,7
321,1971,63.9,411547300003,1123010300,50000,5
322,1971,63.93,310200800104,1117012900,43000,3
323,1971,64.43,310200800104,1117012900,70000,6
324,1971,65.55,310200800104,1117012900,52000,4
325,1971,65.92,411547300003,1123010300,41000,6
326,1971,66.08,310200800104,1117012900,55000,6
327,1971,66.51,410657900010,1117010100,19900,6
328,1971,66.55,415471800004,1156010600,15850,7
329,1971,66.94,415409300011,1156011000,92500,14
330,1971,67.04,410623600014,1117011800,39000,6
331,1971,69.42,310002100160,1114015700,33250,8
332,1971,70.74,310002100160,1114015700,29000,6
333,1971,72.73,415471800004,1156010600,23000,5
334,1971,73.29,415471800004,1156010600,23000,8
335,1971,73.72,415471800004,1156010600,27500,4
336,1971,75.04,310002100160,1114015700,31000,7
337,1971,75.56,410623600014,1117011800,27500,1
338,1971,76.56,410623600013,1117011800,58700,6
339,1971,76.56,410623600014,1117011800,60000,6
340,1971,77.82,415471800004,1156010600,80000,8
341,1971,78.21,310002100160,1114015700,34000,5
342,1971,79.24,311800100045,1156011000,190500,12
343,1971,81.72,410623600013,1117011800,64300,5
344,1971,81.72,410623600014,1117011800,71000,6
345,1971,82.31,310002100160,1114015700,21000,8
346,1971,82.65,415471800004,1156010600,27400,5
347,1971,82.71,410623600014,1117011800,28600,2
348,1971,82.71,413639700025,1141011100,40500,5
349,1971,83.07,415471800004,1156010600,32300,8
350,1971,83.5,415471800004,1156010600,35000,7
351,1971,83.64,310002100160,1114015700,32500,5
352,1971,83.64,415471800004,1156010600,40000,8
353,1971,84.1,415471800004,1156010600,27300,7
354,1971,84.15,310002100375,1111017500,24000,5
355,1971,87.54,310200800248,1117012900,135000,5
356,1971,88.0,410623600014,1117011800,57500,3
357,1971,88.6,415471800004,1156010600,19200,6
358,1971,88.72,413639700025,1141011100,37000,5
359,1971,89.82,310200800248,1117012900,130000,5
360,1971,92.23,411547300003,1123010300,25000,2
361,1971,93.42,410628500014,1117012900,58250,3
362,1971,94.94,310000500021,1111018100,43500,8
363,1971,97.32,410628500014,1117012900,24000,-1
364,1971,100.46,410623600013,1117011800,55000,5
365,1971,100.46,410623600014,1117011800,77700,3
366,1971,101.95,310200800248,1117012900,158000,5
367,1971,102.22,310200800248,1117012900,175000,5
368,1971,102.48,413626100127,1141011700,30000,1
369,1971,118.12,311800100045,1156011000,260000,13
370,1971,120.33,310200800248,1117012900,184000,5
371,1971,120.56,310200800248,1117012900,180000,5
372,1971,124.5,410657900010,1117010100,34000,5
373,1971,124.79,410628500014,1117012900,64000,7
374,1971,130.61,410628500014,1117012900,69500,6
375,1971,141.09,410628500014,1117012900,74500,3
376,1971,156.99,311800100045,1156011000,298000,12
377,1971,163.24,410628500014,1117012900,55000,4
378,1971,167.21,310200800248,1117012900,257500,5
379,1972,33.06,413635500040,1141011700,5500,-1
380,1972,37.02,311900500357,1159010200,8000,5
381,1972,37.69,311900500357,1159010200,4500,3
382,1972,37.81,311802800099,1156013200,14900,1
383,1972,37.82,311900500357,1159010200,11000,3
384,1972,37.88,311802800099,1156013200,13300,2
385,1972,37.94,311802800099,1156013200,14000,5
386,1972,37.96,311802800099,1156013200,21000,5
387,1972,37.97,311802800099,1156013200,14900,3
388,1972,39.01,410629200006,1117012900,5000,13
389,1972,40.14,310101100195,1114013700,20000,13
390,1972,40.56,311900500357,1159010200,7500,6
391,1972,40.76,311900500357,1159010200,9000,6
392,1972,41.52,413639300030,1141011100,16300,5
393,1972,41.95,310101100195,1114013700,3400,6
394,1972,41.98,310101100195,1114013700,11000,14
395,1972,42.28,411563300023,1123010900,20000,-1
396,1972,42.38,413635500040,1141011700,15500,4
397,1972,42.81,310001900865,1129010300,14500,6
398,1972,42.88,311900500357,1159010200,11800,5
399,1972,42.98,310101100195,1114013700,15000,10
400,1972,43.74,311900500357,1159010200,12000,3
401,1972,43.97,310001900865,1129010300,39200,6
402,1972,44.66,413639300030,1141011100,20600,5
403,1972,45.32,413639300030,1141011100,48000,5
404,1972,47.14,311900500357,1159010200,10000,6
405,1972,47.6,311900500357,1159010200,9500,4
406,1972,47.7,413639300030,1141011100,34250,5
407,1972,48.59,413639300030,1141011100,25000,5
408,1972,48.69,413639300030,1141011100,37000,5
409,1972,48.73,412134900005,1129010100,24700,4
410,1972,48.83,311900500357,1159010200,7000,5
411,1972,49.12,413639300030,1141011100,38300,1
412,1972,49.78,413639300030,1141011100,37500,1
413,1972,50.04,413635500040,1141011700,15300,4
414,1972,50.64,413639300030,1141011100,41000,5
415,1972,50.71,413639300030,1141011100,24700,3
416,1972,51.04,413639300030,1141011100,26000,4
417,1972,51.07,413639300030,1141011100,22000,2
418,1972,51.23,413639300030,1141011100,16000,5
419,1972,51.31,310001900865,1129010300,18900,6
420,1972,51.6,311900500357,1159010200,12000,5
421,1972,52.13,310001900865,1129010300,11800,6
422,1972,52.43,310001900865,1129010300,35400,5
423,1972,52.89,413638500006,1141011100,21000,5
424,1972,53.05,413639300030,1141011100,18700,1
425,1972,53.26,410627900010,1117012900,56000,1
426,1972,53.46,414820400056,1153010200,18500,5
427,1972,53.55,311900500357,1159010200,7800,3
428,1972,54.18,414820400056,1153010200,21000,5
429,1972,54.41,311900500357,1159010200,8500,5
430,1972,54.78,310001900865,1129010300,22000,6
431,1972,54.94,413639300030,1141011100,49500,5
432,1972,56.63,410627900010,1117012900,59500,6
433,1972,57.92,413638500006,1141011100,14500,6
434,1972,59.37,413639300030,1141011100,25000,1
435,1972,60.79,311900500357,1159010200,1031,3
436,1972,60.96,311302200050,1144010500,21000,7
437,1972,60.99,311302200050,1144010500,28176,5
438,1972,61.18,413313600011,1138010800,17000,3
439,1972,61.29,311900500357,1159010200,11200,5
440,1972,61.88,311900500357,1159010200,7000,3
441,1972,61.97,413313600011,1138010800,15000,6
442,1972,62.86,413313600011,1138010800,15800,6
443,1972,63.06,413313600011,1138010800,12000,4
444,1972,63.23,413639300030,1141011100,22800,5
445,1972,63.43,413313600011,1138010800,20000,6
446,1972,64.2,413313600011,1138010800,12900,1
447,1972,64.32,413313600011,1138010800,19600,5
448,1972,64.34,413313600011,1138010800,17900,5
449,1972,64.93,411563300023,1123010900,31000,2
450,1972,66.28,310100600157,1114015700,24000,11
451,1972,66.78,310100600157,1114015700,35000,12
452,1972,66.97,300502200227,1117011900,26500,3
453,1972,68.1,310100600157,1114015700,50000,10
454,1972,68.2,311302200050,1144010500,28155,7
455,1972,68.23,311302200050,1144010500,28600,2
456,1972,69.42,413638500006,1141011100,20000,2
457,1972,69.72,411563300023,1123010900,43900,4
458,1972,70.02,310101800377,1117013100,59000,11
459,1972,70.04,310100600157,1114015700,27000,6
460,1972,71.4,311900500357,1159010200,1031,3
461,1972,72.6,310101800377,1117013100,38500,10
462,1972,72.73,413638500006,1141011100,20000,6
463,1972,73.4,310101100195,1114013700,27000,7
464,1972,75.7,310100600157,1114015700,34000,11
465,1972,76.03,413638500006,1141011100,20600,6
466,1972,76.99,413639300030,1141011100,20000,1
467,1972,77.02,310100600157,1114015700,26000,10
468,1972,79.41,413915000008,1144010100,35100,6
469,1972,80.66,413915000008,1144010100,80000,12
470,1972,81.98,310100600157,1114015700,38000,8
471,1972,83.31,310100600157,1114015700,46600,6
472,1972,83.93,311302200050,1144010500,16000,1
473,1972,84.3,413638500006,1141011100,30000,6
474,1972,84.59,413915000008,1144010100,90000,8
475,1972,85.29,310100600157,1114015700,42500,5
476,1972,85.89,410627400003,1117012900,10500,5
477,1972,86.31,413915000008,1144010100,38200,12
478,1972,86.35,413915000008,1144010100,46200,11
479,1972,89.45,310101800377,1117013100,51000,12
480,1972,91.98,310100600157,1114015700,32000,8
481,1972,92.56,413638500006,1141011100,12000,6
482,1972,93.36,310101800377,1117013100,41000,3
483,1972,98.88,413915000008,1144010100,96000,10
484,1972,98.91,413915000008,1144010100,75000,9
485,1972,99.87,413915000008,1144010100,51000,12
486,1972,99.93,413915000008,1144010100,65000,12
487,1972,107.64,310101800377,1117013100,49000,4
488,1972,110.75,413915000008,1144010100,66500,10
489,1972,112.23,413915000008,1144010100,45000,12
490,1972,121.9,310201100024,1117013200,56000,2
491,1972,124.5,310101800377,1117013100,68000,14
492,1972,140.79,410629200006,1117012900,88000,1
493,1972,147.74,410629200006,1117012900,115000,12
494,1972,147.84,310101800377,1117013100,79400,12
495,1972,155.09,310201100024,1117013200,47000,4
496,1972,165.29,413635500040,1141011700,9500,-1
